lon ; lat 
 -98.05570768; 45.63421877 
 -98.05569936; 45.63394882 
 -98.05608388; 45.63394297 
 -98.05607555; 45.63367302 
 -98.05606723; 45.63340306 
 -98.05605891; 45.63313311 
 -98.05605059; 45.63286315 
 -98.05604227; 45.63259319 
 -98.05603395; 45.63232324 
 -98.05564944; 45.63232908 
 -98.05526494; 45.63233492 
 -98.05525662; 45.63206496 
 -98.05487211; 45.63207080 
 -98.05486380; 45.63180085 
 -98.05485548; 45.63153089 
 -98.05484717; 45.63126094 
 -98.05483885; 45.63099098 
 -98.05483053; 45.63072103 
 -98.05444603; 45.63072687 
 -98.05443772; 45.63045691 
 -98.05405322; 45.63046275 
 -98.05366872; 45.63046858 
 -98.05367704; 45.63073854 
 -98.05329254; 45.63074437 
 -98.05290804; 45.63075020 
 -98.05252353; 45.63075604 
 -98.05253184; 45.63102599 
 -98.05214734; 45.63103182 
 -98.05176284; 45.63103765 
 -98.05177114; 45.63130761 
 -98.05138664; 45.63131344 
 -98.05137834; 45.63104348 
 -98.05137003; 45.63077353 
 -98.05136173; 45.63050357 
