time,TEMP_DAILY_MIN,TEMP_DAILY_MAX,PRECIP
1950-05-05 00:00:00,-0.71875706,2.39468927,25.32480231
1950-05-06 00:00:00,-0.54836158,2.38293785,8.06655364
1950-05-07 00:00:00,-0.49632768,5.34067797,6.80954802
1950-05-08 00:00:00,0.95581921,4.73994349,12.83067793
1950-05-09 00:00:00,0.17983051,7.81129944,0.49576271
1950-05-10 00:00:00,0.43079096,15.13796606,0.0339548
1950-05-11 00:00:00,4.13734463,21.04203391,0.02768362
1950-05-12 00:00:00,6.84214689,21.14129946,1.00225989
1950-05-13 00:00:00,4.00954802,24.07598874,0.0
1950-05-14 00:00:00,6.94322036,22.45395478,0.20180791
1950-05-15 00:00:00,1.56751412,16.39022605,1.88581921
1950-05-16 00:00:00,5.16203391,14.11254238,4.75723167
1950-05-17 00:00:00,5.55033897,15.20632767,4.7059322
1950-05-18 00:00:00,6.58135594,20.40903954,9.17903956
1950-05-19 00:00:00,7.93299434,18.15790958,11.27677962
1950-05-20 00:00:00,5.32694917,18.06203397,0.09683616
1950-05-21 00:00:00,5.33169492,22.69169493,0.0
1950-05-22 00:00:00,11.28468927,28.78039546,0.04570621
1950-05-23 00:00:00,12.94406778,29.9246893,0.35836158
1950-05-24 00:00:00,8.59937854,22.09186445,0.57271186
1950-05-25 00:00:00,3.61056497,17.9567796,0.01248588
1950-05-26 00:00:00,3.56118644,20.68751412,0.0
1950-05-27 00:00:00,5.61892655,22.08847463,0.32570622
1950-05-28 00:00:00,8.32474577,20.98903949,1.29649717
1950-05-29 00:00:00,9.33519776,25.02248595,0.46903955
1950-05-30 00:00:00,10.03118645,21.79005654,0.22762712
1950-05-31 00:00:00,6.78757062,19.95836159,0.0239548
1950-06-01 00:00:00,6.94932203,23.57180795,0.0
1950-06-02 00:00:00,5.76548022,20.32796612,0.0
1950-06-03 00:00:00,0.58813559,20.45033898,0.0
1950-06-04 00:00:00,8.91644069,27.08977404,0.0
1950-06-05 00:00:00,11.43293783,31.36412435,0.00474576
1950-06-06 00:00:00,9.72960449,35.07237284,0.8159887
1950-06-07 00:00:00,11.61988695,29.28045196,2.06355933
1950-06-08 00:00:00,11.90723162,22.50033899,1.92932204
1950-06-09 00:00:00,6.03903954,18.41497171,0.27621469
1950-06-10 00:00:00,7.67090395,24.9250283,0.0
1950-06-11 00:00:00,8.47847458,28.49757068,1.13101695
1950-06-12 00:00:00,14.0317514,28.80559318,7.42621463
1950-06-13 00:00:00,14.39892657,29.71689271,1.13700565
1950-06-14 00:00:00,14.49892653,29.9518644,0.31214689
1950-06-15 00:00:00,15.44435027,31.10819209,1.61915255
1950-06-16 00:00:00,8.98333335,24.8070057,0.29079096
1950-06-17 00:00:00,7.24112993,18.3646329,0.40451977
1950-06-18 00:00:00,9.50525424,20.30909616,0.0240113
1950-06-19 00:00:00,7.90519775,26.43039548,0.35632768
1950-06-20 00:00:00,9.62525425,25.070678,0.21423729
1950-06-21 00:00:00,9.40152542,32.13903936,0.60706215
1950-06-22 00:00:00,15.97406778,35.04152546,0.98723164
1950-06-23 00:00:00,13.18005646,30.01870046,2.63655367
1950-06-24 00:00:00,13.16096044,25.90451979,9.77666667
1950-06-25 00:00:00,12.28079094,22.34853112,14.19310736
1950-06-26 00:00:00,9.81649713,22.87062148,0.70276836
1950-06-27 00:00:00,10.0240113,27.39090393,0.86621469
1950-06-28 00:00:00,8.19610172,22.81604522,0.6020339
1950-06-29 00:00:00,8.37220341,24.8987006,0.59384181
1950-06-30 00:00:00,7.77457629,25.6280791,0.26124294
1950-07-01 00:00:00,12.8367232,25.39898303,5.2158757
1950-07-02 00:00:00,10.49344634,24.71559321,8.76627122
1950-07-03 00:00:00,12.31310735,22.81909609,1.25361582
