time,TEMP_DAILY_MIN,TEMP_DAILY_MAX,PRECIP_mm-d,PRECIP_mm-h,PRECIP_mm-min,PRECIP_mm-s
1950-04-30 00:00:00,-4.82491527,2.04519774,1.45022598,0.0604260825,0.001007101375,1.67850229166667E-05
1950-05-01 00:00:00,-4.27491527,7.55943504,5.280452,0.220018833333333,0.00366698055555556,6.11163425925926E-05
1950-05-02 00:00:00,0.73971752,5.5677401,17.6315819,0.734649245833333,0.0122441540972222,0.000204069234953704
1950-05-03 00:00:00,0.10158192,4.61440679,4.15920906,0.1733003775,0.002888339625,0.00004813899375
1950-05-04 00:00:00,0.08480226,2.57090396,17.25807906,0.7190866275,0.011984777125,0.000199746285416667
1950-05-05 00:00:00,-0.71875706,2.39468927,25.32480231,1.05520009625,0.0175866682708333,0.000293111137847222
1950-05-06 00:00:00,-0.54836158,2.38293785,8.06655364,0.336106401666667,0.00560177336111111,9.33628893518518E-05
1950-05-07 00:00:00,-0.49632768,5.34067797,6.80954802,0.2837311675,0.00472885279166667,7.88142131944444E-05
1950-05-08 00:00:00,0.95581921,4.73994349,12.83067793,0.534611580416667,0.00891019300694444,0.000148503216782407
1950-05-09 00:00:00,0.17983051,7.81129944,0.49576271,0.0206567795833333,0.000344279659722222,5.7379943287037E-06
1950-05-10 00:00:00,0.43079096,15.13796606,0.0339548,0.00141478333333333,2.35797222222222E-05,3.9299537037037E-07
1950-05-11 00:00:00,4.13734463,21.04203391,0.02768362,0.00115348416666667,1.92247361111111E-05,3.20412268518518E-07
1950-05-12 00:00:00,6.84214689,21.14129946,1.00225989,0.04176082875,0.0006960138125,1.16002302083333E-05
1950-05-13 00:00:00,4.00954802,24.07598874,0,0,0,0
1950-05-14 00:00:00,6.94322036,22.45395478,0.20180791,0.00840866291666667,0.000140144381944444,2.33573969907407E-06
1950-05-15 00:00:00,1.56751412,16.39022605,1.88581921,0.0785758004166667,0.00130959667361111,2.18266112268518E-05
1950-05-16 00:00:00,5.16203391,14.11254238,4.75723167,0.19821798625,0.00330363310416667,5.50605517361111E-05
1950-05-17 00:00:00,5.55033897,15.20632767,4.7059322,0.196080508333333,0.00326800847222222,5.44668078703704E-05
1950-05-18 00:00:00,6.58135594,20.40903954,9.17903956,0.382459981666667,0.00637433302777778,0.000106238883796296
1950-05-19 00:00:00,7.93299434,18.15790958,11.27677962,0.4698658175,0.00783109695833333,0.000130518282638889
1950-05-20 00:00:00,5.32694917,18.06203397,0.09683616,0.00403484,6.72473333333333E-05,1.12078888888889E-06
1950-05-21 00:00:00,5.33169492,22.69169493,0,0,0,0
1950-05-22 00:00:00,11.28468927,28.78039546,0.04570621,0.00190442541666667,3.17404236111111E-05,5.29007060185185E-07
